Name,Ticker
"BLACKLINE, INC.",BL
BLACKROCK TCP CAPITAL CORP.,TCPC
BLOOM ENERGY CORPORATION,BE
"BOINGO WIRELESS, INC.",WIFI
"BOLT BIOTHERAPEUTICS, INC.",BOLT
"BOOT BARN HOLDINGS, INC.",BOOT
BOWX ACQUISITION CORP.,BOWXU
"BOX, INC.",BOX
"BRIDGEBIO PHARMA, INC.",BBIO
BRIDGFORD FOODS CORPORATION,BRID
BRIGHT LIGHTS ACQUISITION CORP.,BLTSU
BROADCOM INC.,AVGO
BROADWAY FINANCIAL CORPORATION,BYFC
"BROOKLYN IMMUNOTHERAPEUTICS, INC.",BTX
"C3.AI, INC.",AI
"CADENCE DESIGN SYSTEMS, INC.",CDNS
CADIZ INC.,CDZI
"CAI INTERNATIONAL, INC.",CAI
CALAMP CORP.,CAMP
"CALAVO GROWERS, INC.",CVGW
CALIFORNIA BANCORP,CALB
CALIFORNIA RESOURCES CORPORATION,CRC
CALIFORNIA WATER SERVICE GROUP,CWT
"CALITHERA BIOSCIENCES, INC.",CALA
"CALIX, INC.",CALX
CALLAWAY GOLF COMPANY,ELY
CANOO INC.,GOEV
"CAPRICOR THERAPEUTICS, INC.",CAPR
CAPSTONE GREEN ENERGY CORPORATION,CGRN
"CARDIFF ONCOLOGY, INC.",CRDF
"CAREDX, INC.",CDNA
"CARETRUST REIT, INC.",CTRE
CARNEY TECHNOLOGY ACQUISITION CORP. II,CTAQ
"CARPARTS.COM, INC.",PRTS
"CASTLIGHT HEALTH, INC.",CSLT
"CATALYST BIOSCIENCES, INC.",CBIO
CATHAY GENERAL BANCORP,CATY
CENTRAL GARDEN & PET COMPANY,CENT
CENTRAL VALLEY COMMUNITY BANCORP,CVCY
CERUS CORPORATION,CERS
"CHEGG, INC.",CHGG
"CHEMOCENTRYX, INC.",CCXI
CHEVRON CORPORATION,CVX
"CHIPOTLE MEXICAN GRILL, INC.",CMG
CHROMADEX CORPORATION,CDXC
"CIDARA THERAPEUTICS, INC.",CDTX
"CISCO SYSTEMS, INC.",CSCO
CLASS ACCELERATION CORP.,CLAS
CLEAN ENERGY FUELS CORP.,CLNE
"CLEARPOINT NEURO, INC.",CLPT
"CLOUDERA, INC.",CLDR
"CLOUDFLARE, INC.",NET
"CODEXIS, INC.",CDXS
"COHBAR, INC.",CWBR
"COHERENT, INC.",COHR
"COHERUS BIOSCIENCES, INC.",CHRS
"COHU, INC.",COHU
"COLONY CREDIT REAL ESTATE, INC.",CLNC
COMMUNITY WEST BANCSHARES,CWBC
CONCENTRIX CORPORATION,CNXC
CONTEXTLOGIC INC.,WISH
CORCEPT THERAPEUTICS INCORPORATED,CORT
"CORELOGIC, INC.",DEXR
CORNER GROWTH ACQUISITION CORP.,COOL
"CORNERSTONE ONDEMAND, INC.",CSOD
"CORSAIR GAMING, INC.",CRSR
"CORTEXYME, INC.",CRTX
"CORVUS PHARMACEUTICALS, INC.",CRVS
COUPA SOFTWARE INCORPORATED,COUP
"CRESCENT CAPITAL BDC, INC.",CCAP
"CRINETICS PHARMACEUTICALS, INC.",CRNX
"CROWDSTRIKE HOLDINGS, INC.",CRWD
"CUTERA, INC.",CUTR
CVB FINANCIAL CORP.,CVBF
"CYMABAY THERAPEUTICS, INC.",CBAY
"CYTOKINETICS, INCORPORATED",CYTK
"CYTOMX THERAPEUTICS, INC.",CTMX
DAILY JOURNAL CORPORATION,DJCO
"DARÉ BIOSCIENCE, INC.",DARE
DECARBONIZATION PLUS ACQUISITION CORPORATION,DCRD
DECARBONIZATION PLUS ACQUISITION CORPORATION  II,DCRNW
DECKERS OUTDOOR CORPORATION,DECK
"DEL TACO RESTAURANTS, INC.",TACO
DENALI THERAPEUTICS INC.,DNLI
"DERMTECH, INC.",DMTK
"DEXCOM, INC.",DXCM
"DINE BRANDS GLOBAL, INC.",DIN
"DOCUSIGN, INC.",DOCU
"DOLBY LABORATORIES, INC.",DLB
"DOORDASH, INC.",DASH
"DOUGLAS EMMETT, INC.",DEI
DRAGONEER GROWTH OPPORTUNITIES CORP.,DGNU
DRAGONEER GROWTH OPPORTUNITIES CORP. II,DGNU
"DROPBOX, INC.",DBX
"DSP GROUP, INC.",DSPG
DUCOMMUN INCORPORATED,DCO
DURECT CORPORATION,DRRX
DYNAVAX TECHNOLOGIES CORPORATION,DVAX
"E.L.F. BEAUTY, INC.",ELF
E.MERGE TECHNOLOGY ACQUISITION CORP.,ETAC
"EARGO, INC.",EAR
"EAST WEST BANCORP, INC.",EWBC
EBAY INC.,EBAY
EDISON INTERNATIONAL,EIX
EDWARDS LIFESCIENCES CORPORATION,EW
EGAIN CORPORATION,EGAN
"EHEALTH, INC.",EHTH
"EIGER BIOPHARMACEUTICALS, INC.",EIGR
"EKSO BIONICS HOLDINGS, INC.",EKSO
"EL POLLO LOCO HOLDINGS, INC.",LOCO
ELASTIC N.V.,ESTC
ELECTRONIC ARTS INC.,EA
"ELEDON PHARMACEUTICALS, INC.",ELDN
EMCORE CORPORATION,EMKR
"ENCORE CAPITAL GROUP, INC.",ECPG
ENERGOUS CORPORATION,WATT
"ENERGY RECOVERY, INC.",ERII
ENOCHIAN BIOSCIENCES INC.,ENOB
"ENPHASE ENERGY, INC.",ENPH
ENTRAVISION COMMUNICATIONS CORPORATION,EVC
ENVISTA HOLDINGS CORPORATION,NVST
ENVVENO MEDICAL CORPORATION,NVNO
EPIPHANY TECHNOLOGY ACQUISITION CORP.,EPHY
"EQUILLIUM, INC.",EQ
"EQUINIX, INC.",EQIX
"ESSEX PROPERTY TRUST, INC.",ESS
"EVENTBRITE, INC.",EB
"EVOFEM BIOSCIENCES, INC.",EVFM
"EVOKE PHARMA, INC.",EVOK
"EVOLUS, INC.",EOLS
EXAGEN INC.,XGN
"EXELIXIS, INC",EXEL
"EXPONENT, INC.",EXPO
"FASTLY, INC.",FSLY
FAT BRANDS INC.,FAT
"FATE THERAPEUTICS, INC.",FATE
"FIBROGEN, INC.",FGEN
FIRST AMERICAN FINANCIAL CORPORATION,FAF
FIRST CHOICE BANCORP,PRIVATE
FIRST FOUNDATION INC.,FFWM
"FIRSTHAND TECHNOLOGY VALUE FUND, INC.",SVVC
FISKER INC.,FSR
"FIVE PRIME THERAPEUTICS, INC.",FPRX
"FIVE9, INC.",FIVN
FLUIDIGM CORPORATION,FLDM
"FLUX POWER HOLDINGS, INC.",FLUX
"FORMFACTOR, INC.",FORM
"FORTE BIOSCIENCES, INC.",FBRX
"FORTINET, INC.",FTNT
"FOUR CORNERS PROPERTY TRUST, INC.",FCPT
"FRANKLIN RESOURCES, INC.",BEN
FRANKLIN WIRELESS CORP.,FKWL
"FULGENT GENETICS, INC.",FLGT
GAN LIMITED,GAN
GENASYS INC.,GNSS
"GENIUS BRANDS INTERNATIONAL, INC.",GNUS
"GENMARK DIAGNOSTICS, INC.",GNMK
GERON CORPORATION,GERN
"GIGCAPITAL2, INC.",GIX
"GIGCAPITAL3, INC.",GIK
"GIGCAPITAL4, INC.",GIG
"GILEAD SCIENCES, INC.",GILD
GLAUKOS CORPORATION,GKOS
"GLOBAL BLOOD THERAPEUTICS, INC.",GBT
GLU MOBILE INC.,GLUU
"GOODRX HOLDINGS, INC.",GDRX
"GOPRO, INC.",GPRO
"GORES HOLDINGS V, INC.",GRSVU
"GOSSAMER BIO, INC.",GOSS
GRANITE CONSTRUCTION INCORPORATED,GVA
"GRAYBUG VISION, INC.",GRAY
GREEN DOT CORPORATION,GDOT
GREENBOX POS,GBOX
"GRID DYNAMICS HOLDINGS, INC.",GDYN
"GRITSTONE BIO, INC.",GRTS
GROCERY OUTLET HOLDING CORP.,GO
"GSI TECHNOLOGY, INC.",GSIT
"GUARDANT HEALTH, INC.",GH
"GUARDION HEALTH SCIENCES, INC.",GHSI
"GUESS?, INC.",GES
"GUIDEWIRE SOFTWARE, INC.",GWRE
GUILD HOLDINGS COMPANY,GHLD
"HALOZYME THERAPEUTICS, INC.",HALO
HANMI FINANCIAL CORPORATION,HAFC
HARMONIC INC.,HLIT
"HARPOON THERAPEUTICS, INC.",HARP
"HENNESSY ADVISORS, INC.",HNNA
"HERCULES CAPITAL, INC.",HTGC
HERITAGE COMMERCE CORP,HTBK
HERITAGE GLOBAL INC.,HGBL
"HERON THERAPEUTICS, INC.",HRTX
HF FOODS GROUP INC.,HFFG
"HIMS & HERS HEALTH, INC.",HIMS
HISTOGEN INC.,HSTO
"HOPE BANCORP, INC.",HOPE
"HOULIHAN LOKEY, INC.",HLI
HP INC.,HPQ
"HUDSON PACIFIC PROPERTIES, INC.",HPP
"HUMANIGEN, INC.",HGEN
HYRECAR INC,HYRE
"ICHOR HOLDINGS, LTD.",ICHR
"ICU MEDICAL, INC.",ICUI
"IDEAYA BIOSCIENCES, INC.",IDYA
"IDENTIV, INC.",INVE
"IGM BIOSCIENCES, INC.",IGMS
"ILLUMINA, INC.",ILMN
IMMERSION CORPORATION,IMMR
"IMMUNITYBIO, INC.",IBRX
"IMPAC MORTGAGE HOLDINGS, INC.",IMH
"INARI MEDICAL, INC.",NARI
INFINERA CORPORATION,INFN
"INHIBRX, INC.",INBX
INMUNE BIO INC.,INMB
"INNOVIVA, INC.",INVA
"INOGEN, INC.",INGN
INPHI CORPORATION,IPHI
INPIXON,INPX
"INTAPP, INC.",INTA
INTEL CORPORATION,INTC
"INTERSECT ENT, INC.",XENT
"INTEVAC, INC.",IVAC
INTUIT INC.,INTU
"INTUITIVE SURGICAL, INC.",ISRG
INVITAE CORPORATION,NVTA
"IONIS PHARMACEUTICALS, INC.",IONS
"IOVANCE BIOTHERAPEUTICS, INC.",IOVA
IPOWER INC.,IPW
"IRHYTHM TECHNOLOGIES, INC.",IRTC
IRIDEX CORPORATION,IRIX
"ITERIS, INC.",ITI
JACK IN THE BOX INC.,JACK
"JAGUAR HEALTH, INC.",JAGX
"JAKKS PACIFIC, INC.",JAKK
JFROG LTD.,FROG
JIYA ACQUISITION CORP.,JYAC
"JUNIPER NETWORKS, INC.",JNPR
KAISER ALUMINUM CORPORATION,KALU
KB HOME,KBH
"KENNEDY-WILSON HOLDINGS, INC.",KW
"KEYSIGHT TECHNOLOGIES, INC.",KEYS
"KEZAR LIFE SCIENCES, INC.",KZR
KILROY REALTY CORPORATION,KRC
"KINDRED BIOSCIENCES, INC.",KIN
KINNATE BIOPHARMA INC.,KNTE
KINS TECHNOLOGY GROUP INC.,KINZ
"KINTARA THERAPEUTICS, INC.",KTRA
KLA CORPORATION,KLAC
KLUDELN I ACQUISITON CORP.,INKAU
KODIAK SCIENCES INC.,KOD
KORN FERRY,KFY
"KRONOS BIO, INC.",KRON
"KURA ONCOLOGY, INC.",KURA
"KURA SUSHI USA, INC.",KRUS
LAM RESEARCH CORPORATION,LRCX
LANDEC CORPORATION,LNDC
LANDSEA HOMES CORPORATION,LSEA
"LANTRONIX, INC.",LTRX
LEAF GROUP LTD.,LEAF
LENDINGCLUB CORPORATION,LC
LEVI STRAUSS & CO.,LEVI
LIGAND PHARMACEUTICALS INCORPORATED,LGND
LIGHTJUMP ACQUISITION CORPORATION,LJAQU
LIMONEIRA COMPANY,LMNR
"LINEAGE CELL THERAPEUTICS, INC.",LCTX
LIONS GATE ENTERTAINMENT CORP.,LGF
"LIVE NATION ENTERTAINMENT, INC.",LYV
"LIVERAMP HOLDINGS, INC.",RAMP
"LIVEVOX HOLDINGS, INC.",LVOX
"LIVEXLIVE MEDIA, INC.",LIVX
"LOANDEPOT, INC.",LDI
LOGITECH INTERNATIONAL S.A.,LOGI
LPL FINANCIAL HOLDINGS INC.,LPLA
"LTC PROPERTIES, INC.",LTC
"LUCIRA HEALTH, INC.",LHDX
LUMENTUM HOLDINGS INC.,LITE
LUTHER BURBANK CORPORATION,LBC
"LYFT, INC.",LYFT
"MAGNITE, INC.",MGNI
"MANDIANT, INC.",MNDT
MANNKIND CORPORATION,MNKD
"MARAVAI LIFESCIENCES HOLDINGS, INC.",MRVI
"MARCUS & MILLICHAP, INC.",MMI
MARIN SOFTWARE INCORPORATED,MRIN
MARKFORGED HOLDING CORPORATION,MKFG
MARLIN TECHNOLOGY CORPORATION,FINMU
"MARRONE BIO INNOVATIONS, INC.",MBII
MASIMO CORPORATION,MASI
"MATTEL, INC.",MAT
"MAXIM INTEGRATED PRODUCTS, INC.",MXIM
"MAXLINEAR, INC.",MXL
MCAFEE CORP.,MCFE
MCGRATH RENTCORP,MGRC
"MEDALLIA, INC.",MDLA
"MEDIAALPHA, INC.",MAX
"MEDICINOVA, INC.",MNOV
"MEI PHARMA, INC.",MEIP
MERCURY GENERAL CORPORATION,MCY
"METACRINE, INC.",MTCR
"META PLATFORMS, INC.",META
"METROMILE, INC.",MILE
"MIRATI THERAPEUTICS, INC.",MRTX
"MIRUM PHARMACEUTICALS, INC.",MIRM
"MISSION PRODUCE, INC.",AVO
"MITEK SYSTEMS, INC",MITK
"MODEL N, INC.",MODN
"MOLINA HEALTHCARE, INC.",MOH
MONSTER BEVERAGE CORPORATION,MNST
MONTES ARCHIMEDES ACQUISITION CORP.,MAACU
"MONTROSE ENVIRONMENTAL GROUP, INC.",MEG
"MOSYS, INC.",MOSY
"MOTORCAR PARTS OF AMERICA, INC.",MPAA
"MOVING IMAGE TECHNOLOGIES, INC.",MITQ
MULLEN AUTOMOTIVE INC.,MULN
"NANTHEALTH, INC.",NH
"NATURAL ALTERNATIVES INTERNATIONAL, INC.",NAII
NATUS MEDICAL INCORPORATED,NTUS
NEKTAR THERAPEUTICS,NKTR
NEOPHOTONICS CORPORATION,NPTN
"NETAPP, INC.",NTAP
"NETFLIX, INC.",NFLX
"NETGEAR, INC.",NTGR
"NETSOL TECHNOLOGIES, INC.",NTWK
"NEUROCRINE BIOSCIENCES, INC.",NBIX
NEVRO CORP.,NVRO
"NEW RELIC, INC.",NEWR
"NGM BIOPHARMACEUTICALS, INC.",NGM
"NKARTA, INC.",NKTX
"NMI HOLDINGS, INC.",NMIH
"NOVA LIFESTYLE, INC.",NVFY
"NOVABAY PHARMACEUTICALS, INC.",NBY
"NURIX THERAPEUTICS, INC.",NRIX
"NUTANIX, INC.",NTNX
"NUVASIVE, INC.",NUVA
NVIDIA CORPORATION,NVDA
OAK VALLEY BANCORP,OVLY
OAKTREE ACQUISITION CORP. II,OACB
OAKTREE SPECIALTY LENDING CORPORATION,OCSL
"OKTA, INC.",OKTA
"OLEMA PHARMACEUTICALS, INC.",OLMA
"OMNICELL, INC.",OMCL
"ON24, INC.",ONTF
ONCOCYTE CORPORATION,OCX
"ONCTERNAL THERAPEUTICS, INC.",ONCT
"ONE STOP SYSTEMS, INC.",OSS
"ONTRAK, INC.",OTRK
"OOMA, INC.",OOMA
OP BANCORP,OPBK
"OPIANT PHARMACEUTICALS, INC.",OPNT
OPORTUN FINANCIAL CORPORATION,OPRT
"ORGANOVO HOLDINGS, INC.",ONVO
"ORIC PHARMACEUTICALS, INC.",ORIC
"OSI SYSTEMS, INC.",OSIS
"OTONOMY, INC.",OTIC
"OUTSET MEDICAL, INC.",OM
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",PACB
PACIFIC MERCANTILE BANCORP,PMBC
"PACIFIC PREMIER BANCORP, INC.",PPBI
PACWEST BANCORP,PACW
"PAGERDUTY, INC.",PD
"PALO ALTO NETWORKS, INC.",PANW
"PALOMAR HOLDINGS, INC.",PLMR
"PAYPAL HOLDINGS, INC.",PYPL
PCB BANCORP,PCB
"PDF SOLUTIONS, INC.",PDFS
"PENNYMAC FINANCIAL SERVICES, INC.",PFSI
"PENUMBRA, INC.",PEN
PERFORMANT FINANCIAL CORPORATION,PFMT
"PERSONALIS, INC.",PSNL
"PETCO HEALTH AND WELLNESS COMPANY, INC.",WOOF
PG&E CORPORATION,PCG
"PHARMACYTE BIOTECH, INC.",PMCB
"PINTEREST, INC.",PINS
"PIXELWORKS, INC.",PXLW
"PLANTRONICS, INC.",POLY
"PLBY GROUP, INC.",PLBY
"PLIANT THERAPEUTICS, INC.",PLRX
"POLAR POWER, INC.",POLA
"POSEIDA THERAPEUTICS, INC.",PSTX
"POSHMARK, INC.",POSH
"POWER INTEGRATIONS, INC.",POWI
"PRESIDIO PROPERTY TRUST, INC.",SQFT
"PRICESMART, INC.",PSMT
PRIME IMPACT ACQUISITION I,PIAI
"PRO-DEX, INC.",PDEX
"PROGENITY, INC.",PROG
"PROLOGIS, INC.",PLD
"PROOFPOINT, INC.",PFPT
PROSPECTOR CAPITAL CORP.,PRSRW
"PROTAGONIST THERAPEUTICS, INC.",PTGX
"PROVIDENT FINANCIAL HOLDINGS, INC.",PROV
"PS BUSINESS PARKS, INC.",PSBZP
PUBLIC STORAGE,PSA
"PUBMATIC, INC.",PUBM
PULMONX CORPORATION,LUNG
"PULSE BIOSCIENCES, INC.",PLSE
"PUMA BIOTECHNOLOGY, INC.",PBYI
"PURE STORAGE, INC.",PSTG
"QAD, INC.",QADA
QELL ACQUISITION CORP.,QELL
QUALCOMM INCORPORATED,QCOM
"QUALIGEN THERAPEUTICS, INC.",QLGN
"QUALYS, INC.",QLYS
QUANTUM CORPORATION,QMCO
QUANTUMSCAPE CORPORATION,QS
QUICKLOGIC CORPORATION,QUIK
QUIDEL CORPORATION,QDEL
"QUINSTREET, INC.",QNST
QUOTIENT TECHNOLOGY INC.,QUOT
"RA MEDICAL SYSTEMS, INC.",RMED
"RADNET, INC.",RDNT
RAMBUS INC.,RMBS
"RAPT THERAPEUTICS, INC.",RAPT
RBB BANCORP,RBB
"READING INTERNATIONAL, INC.",RDI
REALTY INCOME CORPORATION,O
"REDWOOD TRUST, INC.",RWT
REGULUS THERAPEUTICS INC.,RGLS
RELIANCE STEEL & ALUMINUM CO.,RS
RESHAPE LIFESCIENCES INC,RSLS
RESMED INC.,RMD
"RESOURCES CONNECTION, INC.",RGP
RETAIL OPPORTUNITY INVESTMENTS CORP.,ROIC
"REVIVA PHARMACEUTICALS HOLDINGS, INC.",RVPH
"REVOLUTION MEDICINES, INC.",RVMD
"REVOLVE GROUP, INC.",RVLV
"REXFORD INDUSTRIAL REALTY, INC.",REXR
"REZOLUTE, INC.",RZLT
"RF INDUSTRIES, LTD.",RFIL
RH,RH
"RIBBIT LEAP, LTD.",ZIM
"RIGEL PHARMACEUTICALS, INC.",RIGL
"RINGCENTRAL, INC.",RNG
ROBERT HALF INTERNATIONAL INC.,RHI
RODGERS SILICON VALLEY ACQUISITION CORP.,RSVA
"ROKU, INC.",ROKU
"ROSS STORES, INC.",ROST
ROTH CH ACQUISITION I CO.,ROCG
ROTH CH ACQUISITION II CO.,ROCC
"ROVER GROUP, INC.",ROVR
"SABRA HEALTH CARE REIT, INC.",SBRA
"SALESFORCE.COM, INC.",CRM
SANDBRIDGE ACQUISITION CORPORATION,SBG.U
"SANGAMO THERAPEUTICS, INC.",SGMO
SANMINA CORPORATION,SANM
"SATSUMA PHARMACEUTICALS, INC.",STSA
SCIENCE STRATEGIC ACQUISITION CORP. ALPHA,SSAAU
SEASPINE HOLDINGS CORPORATION,SPNE
"SECOND SIGHT MEDICAL PRODUCTS, INC.",EYES
"SEER, INC.",SEER
SEMPRA ENERGY,SRE
SEMTECH CORPORATION,SMTC
"SERVICENOW, INC.",NOW
"SHIFT TECHNOLOGIES, INC.",SFT
"SHOCKWAVE MEDICAL, INC.",SWAV
"SHOTSPOTTER, INC.",SSTI
"SI-BONE, INC.",SIBN
"SIENTRA, INC.",SIEN
SIERRA BANCORP,BSRR
"SILK ROAD MEDICAL, INC.",SILK
SILVERGATE CAPITAL CORPORATION,SI
"SIMPSON MANUFACTURING CO., INC.",SSD
"SIMULATIONS PLUS, INC.",SLP
SITIME CORPORATION,SITM
SJW GROUP,SJW
"SKECHERS U.S.A., INC.",SKX
SKILLZ INC.,SKLZ
"SKYWORKS SOLUTIONS, INC.",SWKS
"SLACK TECHNOLOGIES, INC.",WORK
SNAP INC.,SNAP
"SNOWFLAKE COMPUTING, INC.",SNOW
SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV,IPOD
SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. V,IPOE
SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI,IPOF
"SOCKET MOBILE, INC.",SCKT
"SOLENO THERAPEUTICS, INC.",SLNO
"SONOS, INC.",SONO
"SORRENTO THERAPEUTICS, INC.",SRNE
SPLUNK INC.,SPLK
"SPRUCE BIOSCIENCES, INC.",SPRB
"SQUARE, INC.",OXSQ
"SRAX, INC.",SRAX
STAAR SURGICAL COMPANY,STAA
STABLE ROAD ACQUISITION CORP.,SRAC
STAMPS.COM INC.,STMP
"STITCH FIX, INC.",SFIX
"SUMMIT WIRELESS TECHNOLOGIES, INC.",WISA
"SUMO LOGIC, INC.",SUMO
SUNPOWER CORPORATION,SPWR
SUNRUN INC.,RUN
"SUNSTONE HOTEL INVESTORS, INC.",SHO
"SUNWORKS, INC.",SUNW
"SUPER LEAGUE GAMING, INC.",SLGG
"SUPER MICRO COMPUTER, INC.",SMCI
SURO CAPITAL CORP.,SSSS
"SUTRO BIOPHARMA, INC.",STRO
SVB FINANCIAL GROUP,SIVB
SVF INVESTMENT CORP.,SVFA
SVMK INC.,SVMK
SYNAPTICS INCORPORATED,SYNA
SYNNEX CORPORATION,SNX
"SYNOPSYS, INC.",SNPS
TAILWIND ACQUISITION CORP.,TWND
TAITRON COMPONENTS INCORPORATED,TAIT
TALIS BIOMEDICAL CORPORATION,TLIS
"TANDEM DIABETES CARE, INC.",TNDM
"TARSUS PHARMACEUTICALS, INC.",TARS
"TATTOOED CHEF, INC.",TTCF
TEJON RANCH CO.,TRC
TELEDYNE TECHNOLOGIES INCORPORATED,TDY
TERADATA CORPORATION,TDC
"TERNS PHARMACEUTICALS, INC.",TERN
TERRENO REALTY CORPORATION,TRNO
"TESLA, INC.",TSLA
"TETRA TECH, INC.",TTEK
THAYER VENTURES ACQUISITION CORPORATION,TVACU
THE CHEESECAKE FACTORY INCORPORATED,CAKE
THE CLOROX COMPANY,CLX
"THE COOPER COMPANIES, INC.",COO
"THE DUCKHORN PORTFOLIO, INC.",NAPA
"THE ENSIGN GROUP, INC.",ENSG
"THE GAP, INC.",GPS
THE INTERGROUP CORPORATION,INTG
THE MACERICH COMPANY,MAC
THE MUSIC ACQUISITION CORPORATION,TMAC
THE NEW HOME COMPANY INC.,NWHM
"THE REALREAL, INC.",REAL
"THE TRADE DESK, INC.",TTD
THE WALT DISNEY COMPANY,DIS
"THERMOGENESIS HOLDINGS, INC.",THMO
